gispropnum,q1,q2,q3,q4,budsum
Q043,0,0,0,0,0
Q360F,0,89,0,0,89
X071,10,0,13,77,100
M303,0,0,0,0,0
X248,4659,194,0,3718,8571
X129,77,173,241,0,491
M025,0,0,0,959,959
X078,0,56,0,471,527
X067,130,47,236,11,424
X031,0,0,0,0,0
B255N,56,0,0,0,56
X096,19,138,33,0,190
M067,21,283,0,127,431
M224,0,5,0,15,20
M212,2856,1225,33,4,4118
M304,0,103,0,17,120
B273,0,0,0,0,0
X119,177,110,45,28,360
R049,0,0,0,0,0
M023,207,213,0,79,499
B404,226,210,0,344,780
Q325,0,0,28,0,28
X070,30,0,62,15,107
B089,0,0,0,0,0
B290,0,28,0,0,28
X062,0,26,43,0,69
Q491,0,4,0,0,4
Q059,0,77,0,2637,2714
Q137,0,98,0,0,98
Q483,223,0,94,14,331
M254,0,5,0,20,25
B194,5,0,3367,0,3372
X069,0,0,0,0,0
B223QA,42,0,140,0,182
X334,0,197,0,35,232
B226,0,0,28,14,42
X036,0,0,73,45,118
B191,662,18,0,34,714
Q036A,0,270,0,103,373
Q231,0,194,2038,0,2232
M203A,20,20,20,141,201
M097,209,147,100,150,606
Q055,0,0,0,0,0
Q259,0,0,0,0,0
X065,0,0,0,0,0
M002,0,10,0,25,35
X130,0,67,167,0,234
X012,0,0,0,0,0
Q341F,243,288,0,77,608
Q033,0,0,14,0,14
M061,0,0,0,0,0
X049,113,0,0,0,113
Q360R,0,0,0,0,0
Q080,0,0,0,38,38
X110,0,52,69,0,121
M127,0,0,0,0,0
Q190,0,0,0,45,45
B289,0,0,0,0,0
M093,0,0,0,0,0
Q018,42,0,0,0,42
M125D,0,77,0,52,129
M120B,129,1438,12,39,1618
B176,0,0,0,0,0
M021,0,200,39,10,249
B223MA,0,125,0,0,125
B223V,0,0,0,0,0
B115,0,0,0,0,0
B223T,0,0,0,0,0
X061,13,14,0,0,27
B388,3,5,2,289,299
M034,0,0,0,0,0
Q186,0,0,0,0,0
Q208,0,0,0,0,0
B062,4,4,0,44,52
Q360H,0,0,0,0,0
Q067,26,0,19,417,462
Q439,56,0,0,0,56
Q360S,0,0,0,0,0
M189,0,50,0,0,50
M287,0,0,0,536,536
M083,0,10,0,0,10
M085,147,371,39,88,645
X101,11,0,1186,0,1197
Q341E,0,888,0,52,940
Q203,0,0,436,0,436
Q090,0,0,0,0,0
B213,0,0,0,0,0
B160,0,0,0,0,0
Q214,387,0,0,0,387
B392,79,0,0,46,125
Q135A,0,0,0,56,56
M125A,0,107,30,52,189
X056,0,14,0,0,14
X148K1,0,0,0,0,0
B255O,0,0,0,0,0
B174,0,0,0,0,0
X060,0,0,0,15,15
Q355,43,28,73,0,144
Q254,0,0,0,0,0
Q140,20,0,0,216,236
Q224,0,0,0,0,0
B205,0,0,0,0,0
Q206,0,0,0,0,0
Q220D,0,0,85,130,215
B211,0,0,0,0,0
Q076,89,0,0,0,89
Q257,0,36,0,0,36
B242,0,0,111,0,111
M170,771,103,0,103,977
R002,0,0,0,0,0
Q042,349,0,0,308,657
M051,253,74,0,0,327
Q147,0,0,0,0,0
Q360T,0,0,0,56,56
X052,0,0,0,0,0
M125E,56,0,0,116,172
M024,29,0,0,10,39
B117,0,516,76,125,717
Q462,656,65,0,68,789
M172,0,620,0,17,637
Q243,0,0,0,21,21
X148B2,15,15,111,0,141
B196,0,0,0,0,0
M282,0,0,0,78,78
Q057,203,465,156,605,1429
M247,0,30,0,48,78
B126A,76,0,0,0,76
X148J2,0,83,328,31,442
B210C,52,97,56,0,205
R060,0,0,0,0,0
Q159,0,0,0,0,0
Q062,0,0,97,0,97
B172,0,0,0,0,0
B045,0,0,21,16,37
Q152,0,0,0,0,0
Q341B,0,0,0,0,0
Q383,0,0,0,0,0
Q160,228,0,0,208,436
M108H,0,0,0,0,0
X148I3,0,0,0,0,0
M169,0,0,0,0,0
B338,0,0,0,121,121
Q070,0,80,87,125,292
B027,0,0,0,0,0
X278,98,0,0,0,98
X133,0,0,0,0,0
B033,0,83,0,0,83
X134,0,0,28,56,84
B041,0,0,0,0,0
Q245,0,0,0,0,0
M040,0,0,0,0,0
M090,0,0,0,5,5
B202,0,0,0,0,0
Q157,0,0,0,0,0
Q060,83,0,108,0,191
B231,0,0,0,0,0
Q213,45,0,0,0,45
B229,0,0,0,0,0
B155,0,0,0,0,0
M108T01,63,592,29,35,719
Q135,0,0,42,0,42
M188A,26,0,0,3,29
B123,3,0,0,0,3
Q168,0,0,0,0,0
Q173,243,0,114,0,357
X001B,0,0,0,0,0
B006,0,0,0,9,9
Q148,295,0,111,0,406
Q387D,0,0,0,0,0
Q056,0,0,0,0,0
B175,0,0,0,0,0
B031,0,0,0,0,0
Q019,0,14,122,0,136
Q075,0,0,0,52,52
Q142,0,0,0,0,0
Q032,0,69,0,52,121
Q124,0,0,0,194,194
B278,0,0,0,0,0
Q072,0,0,0,0,0
Q068,87,65,0,34,186
Q079,202,0,0,0,202
B166,266,1430,0,0,1696
B544,0,0,0,0,0
M397,5,0,0,0,5
M382,0,0,0,0,0
M331,0,0,0,0,0
M296,0,77,0,77,154
X277,0,0,0,0,0
M177,0,0,0,349,349
X324,0,0,0,0,0
B535,0,0,0,0,0
X360,38125,44040,41138,41481,164784
M313A,5,77,0,35,117
B553,0,0,0,0,0
M313,5,0,0,0,5
M293,5,39,0,77,121
B438,0,0,0,0,0
X351,0,0,0,0,0
Q495,0,0,0,0,0
M312,5,39,0,35,79
B507,0,0,0,0,0
X350,0,0,0,0,0
Q470,0,387,0,103,490
B336,870,757,54,514,2195
B439,0,0,0,0,0
M372,5,0,0,0,5
B440,0,0,0,0,0
B441,0,0,0,0,0
X339,0,0,0,0,0
X001,45,0,0,35,80
R133,0,0,0,0,0
B443,0,0,0,0,0
Q486,0,0,0,0,0
R003,0,52,0,52,104
Q499,0,0,0,0,0
Q387E,0,0,0,0,0
R137,0,0,0,0,0
B555,0,0,0,43,43
Q096,25,0,0,0,25
M091,0,0,0,0,0
B444,0,0,0,0,0
B446,0,0,0,279,279
Q487,0,0,0,0,0
M333,0,0,0,0,0
R075G,0,0,0,0,0
Q464,0,0,0,0,0
X094,649,90,46,56,841
M334,5,0,0,0,5
Q478,0,0,0,0,0
X246,0,1196,0,0,1196
R172,0,0,4676,11591,16267
B256,0,0,0,0,0
B421,0,0,0,0,0
B422,0,66,0,103,169
B010,0,0,0,0,0
B223DD,0,0,0,0,0
B223DE,0,729,0,0,729
B223DF,0,0,0,0,0
B223DG,0,0,0,9,9
B223DJ,0,0,0,0,0
B048,0,0,0,0,0
B566,0,0,0,0,0
B554,0,0,0,0,0
X315,0,0,0,0,0
B561,0,0,0,0,0
R132,0,0,0,0,0
M359,5,0,0,0,5
R152,0,0,0,76,76
M388,0,0,0,0,0
B447,0,0,0,0,0
B448,0,0,0,0,0
X363,0,0,0,0,0
M374,0,0,0,0,0
B568,0,0,0,0,0
M402,0,0,0,0,0
M260,408,0,894,0,1302
M113A,0,5,0,0,5
M396,5,5,0,0,10
B224A,0,0,0,0,0
X279,0,0,0,0,0
B450,0,0,0,0,0
X321,0,0,0,0,0
Q010,0,56,0,0,56
B451,0,0,0,0,0
M281,0,26,0,52,78
X358,0,0,0,0,0
M305,0,0,0,0,0
M342,986,0,0,0,986
B526,0,0,0,0,0
M335,5,0,0,0,5
B520,0,0,0,0,0
B452,0,0,0,0,0
B453,0,0,0,0,0
B454,0,0,0,0,0
Q172,87,0,0,0,87
Q474A,0,0,0,0,0
X338,0,0,0,0,0
R135,0,0,0,0,0
B455,0,0,0,0,0
X340,0,0,0,0,0
Q505,0,0,0,0,0
B569,0,0,0,0,0
X326,0,0,0,0,0
X343,0,0,0,0,0
M336,5,39,0,35,79
M323,0,0,0,0,0
M337,5,0,0,0,5
M398,0,0,0,0,0
Q411,0,0,0,0,0
Q459,0,0,0,0,0
Q058,363,296,123,0,782
Q232,0,0,131,114,245
M026,2996,2038,1265,1513,7812
B414,0,88,0,19,107
B571,0,0,0,0,0
M208B,96,97,0,155,348
M324,5,39,0,35,79
B424,0,0,0,40,40
B458,0,0,0,0,0
B543,0,0,0,0,0
B459,0,0,0,0,0
M327,0,0,0,0,0
M319B,0,0,0,0,0
Q484,0,0,0,0,0
X341,0,0,0,0,0
X313,0,0,0,79,79
X323,0,0,0,0,0
X233A,0,113,0,52,165
M392,0,0,0,0,0
B577,0,0,0,0,0
M268,0,26,0,0,26
M339,5,0,0,0,5
M340,0,0,0,0,0
B460,0,0,0,0,0
B461,0,0,0,0,0
R153,0,0,0,0,0
B462,0,0,0,0,0
M330,0,0,0,0,0
X352,0,0,0,0,0
B463,0,0,0,0,0
B464,0,0,0,0,0
X312,0,0,0,0,0
M310,5,0,0,0,5
B465,0,0,0,0,0
M358,5,0,0,0,5
B466,0,0,0,0,0
M291,0,0,0,0,0
Q441,4240,2957,4251,87686,99134
B467,0,0,0,0,0
X359,0,0,0,0,0
R158,29,0,0,0,29
B394,0,0,0,0,0
M317,0,0,0,0,0
X318,0,0,0,0,0
B037,0,0,0,0,0
B530,0,0,0,0,0
B531,0,0,0,0,0
B532,0,0,0,0,0
B533,0,0,0,0,0
B545,0,0,0,0,0
B549,0,0,0,0,0
B550,0,0,0,0,0
B556,0,0,0,7,7
B557,0,0,0,0,0
B582,0,0,0,0,0
B583,0,0,0,0,0
B586,0,0,0,0,0
M377,0,77,0,1,78
M400,0,0,0,0,0
Q503,0,0,0,0,0
R137A,0,0,0,0,0
X357,0,0,0,0,0
X297,0,0,0,0,0
X293,0,0,0,0,0
X298,0,0,0,0,0
M341,0,0,0,0,0
B522,0,0,0,0,0
B399,0,0,0,0,0
X306,0,0,0,0,0
X150D,0,0,0,0,0
M329,5,0,0,35,40
X316,0,0,0,0,0
Q488,0,0,0,0,0
Q489,0,0,0,0,0
B415,0,0,0,0,0
B436,0,0,0,0,0
B468,0,0,0,0,0
B469,0,0,0,0,0
B428,0,0,0,0,0
B552,0,0,0,0,0
B470,0,0,0,0,0
R150,0,0,0,0,0
R141,0,0,0,0,0
X276,0,0,5,0,5
B471,0,0,0,0,0
M311,5,0,0,0,5
B486,0,0,0,0,0
B472,0,0,0,0,0
B484,0,0,0,0,0
B574,0,0,0,0,0
B575,0,0,0,0,0
B473,0,0,0,0,0
M131,308,2094,1044,2620,6066
X118A,56,1430,0,0,1486
M409,0,0,0,0,0
M271A,50,0,0,0,50
M363,0,0,0,0,0
M407,0,0,0,0,0
M322,0,0,0,0,0
B474,0,0,0,0,0
B400,10,30,0,60,100
B572,0,0,0,0,0
X364,0,0,0,0,0
M092A,0,0,0,0,0
B433,79,179,98,238,594
M406,0,0,0,0,0
B567,0,0,0,0,0
B475,0,0,0,0,0
R160,0,103,0,0,103
X270,0,0,0,0,0
X241,0,0,0,0,0
Q454,0,40,0,0,40
B512,0,0,0,0,0
M371,5,0,0,0,5
B528,0,0,0,0,0
B260A,366,0,0,1253,1619
M399,0,0,0,0,0
R131,0,0,0,0,0
B413,0,0,0,0,0
M344,0,0,0,0,0
B408,0,0,0,0,0
R136,0,0,0,0,0
B579,0,0,0,0,0
B565,0,0,0,0,0
X314,0,0,0,0,0
R151,0,258,0,387,645
M364,0,0,0,0,0
Q083,0,0,0,0,0
X319,0,77,0,26,103
Q309,0,28,0,0,28
Q506,0,0,0,0,0
M390,0,0,0,168,168
X320,0,0,0,112,112
X349,0,0,0,0,0
X322,0,0,0,0,0
B580,0,0,0,0,0
M278,0,0,0,0,0
B477,0,0,0,0,0
B478,0,0,0,0,0
B511,0,0,0,0,0
R146,0,0,0,0,0
B509,0,0,0,0,0
M351,0,0,0,0,0
M345,5,0,0,0,5
R138,0,0,0,0,0
X250,0,0,0,0,0
B351,6472,4758,24408,17059,52697
B398,0,0,0,0,0
M383,0,0,0,0,0
X145,0,0,0,0,0
X327,0,0,0,0,0
M373,0,0,0,0,0
M325,5,77,0,60,142
Q393B,0,0,0,0,0
X328,0,0,0,0,0
R148,0,0,0,0,0
X337,0,0,0,0,0
X355,0,0,0,0,0
B479,0,0,0,0,0
B223U,831,0,84,37,952
Q497,0,115,92,203,410
X365,0,0,0,0,0
M346,0,0,103,0,103
M232,0,0,0,0,0
B480,0,0,0,0,0
X356,0,0,0,0,0
M326,5,0,0,0,5
Q490,0,0,0,0,0
X310,0,0,0,0,0
R027,0,187,0,0,187
X290,175,94,0,0,269
M357,5,0,0,0,5
B112,0,0,0,0,0
B336A,0,0,0,0,0
X254,0,0,0,0,0
Q468,0,0,14,0,14
M108A,197,0,28,76,301
B498,0,0,0,0,0
M361,21,0,0,0,21
Q063,81,0,0,0,81
B499,0,0,0,0,0
B481,0,0,0,0,0
B482,0,0,0,0,0
M401,0,0,0,0,0
B483,0,0,0,0,0
R166,0,0,0,0,0
X236,1987,703,1281,34070,38041
B510,0,0,0,0,0
M297A,0,0,0,0,0
R142,0,0,0,0,0
B092,0,0,0,0,0
Q493,0,0,0,0,0
X353,0,0,0,0,0
Q096C,0,0,0,0,0
M318,0,263,1324,39,1626
R163,0,0,0,0,0
B085,384,9787,16596,1652,28419
Q069,40,89,0,0,129
M209,0,0,0,0,0
M314,5,0,0,0,5
X329,0,0,0,0,0
M347,0,0,0,0,0
X342,0,0,0,0,0
B584,0,0,0,0,0
M348,0,0,0,0,0
X275,0,39,0,26,65
Q130,0,0,0,257,257
X035,0,0,42,0,42
B521,0,0,0,0,0
B514,0,0,0,0,0
B540,0,0,0,0,0
M338,0,0,0,0,0
B280,0,0,0,0,0
M349,0,0,0,0,0
B449,0,0,0,0,0
X308,0,0,0,0,0
M393,0,0,0,0,0
R149,13136,39980,26920,16080,96116
M320,0,0,5,0,5
B434,0,66725,1081,84,67890
R159,0,0,0,0,0
R162,0,0,282,5,287
M354,5,77,0,35,117
M365,0,0,0,0,0
B442,0,0,0,0,0
X330,0,0,0,0,0
X354,30,314,67,245,656
B417,0,0,0,0,0
B485,0,0,0,0,0
M356,0,0,0,0,0
X285,0,0,0,0,0
B406,0,0,0,21,21
B558,0,0,0,0,0
X294,0,0,0,0,0
B210D,0,0,0,0,0
B210Q,0,387,54,0,441
B210R,0,0,0,0,0
B210S,0,0,0,0,0
B210T,0,0,0,0,0
B210U,0,0,0,0,0
B210V,0,0,0,0,0
B210L,0,0,0,0,0
B210M,0,0,0,0,0
B210N,0,0,0,0,0
B210O,0,0,0,0,0
B223C,0,0,0,0,0
B223IC,0,0,0,0,0
B223JA,0,0,0,0,0
B223OA,0,0,0,0,0
B255A,0,0,0,0,0
B255B,0,0,0,0,0
B255I,0,0,0,0,0
B537,0,0,0,0,0
B541,0,0,0,0,0
B547,0,0,0,0,0
B548,0,0,0,0,0
B587,0,0,0,0,0
B523,0,0,0,0,0
M108J,0,0,0,0,0
M092B,0,0,0,0,0
M108B,0,0,0,0,0
M262,0,77,0,77,154
M271B,0,0,0,0,0
Q220A,0,0,0,0,0
Q156,0,0,0,0,0
Q162H01,0,0,0,60,60
Q162I,0,0,0,0,0
Q096G,0,0,0,0,0
Q387C,0,0,0,0,0
Q360V,0,0,0,0,0
Q360W,0,0,0,0,0
Q360X,0,0,0,0,0
Q360Y1,0,0,0,0,0
Q360Y2,0,0,0,0,0
Q417,0,0,0,0,0
Q409,0,0,0,0,0
Q341A,0,0,0,0,0
Q360L,0,0,0,0,0
Q360I,0,0,0,0,0
Q360A,0,0,0,0,0
Q360C,0,0,0,0,0
Q360D,0,0,0,0,0
Q357A,0,0,0,0,0
Q357A1,0,0,0,0,0
Q357D,0,0,0,0,0
Q357E,0,0,0,0,0
Q357F,0,0,0,0,0
R044,0,0,0,0,0
R038B,0,0,0,0,0
Q500,0,0,0,0,0
Q504,67,0,0,134,201
Q508,0,0,0,0,0
Q509,0,0,0,0,0
Q433A,0,0,0,0,0
Q433B,0,0,0,0,0
R168,0,0,0,0,0
R075E,0,0,0,0,0
R075F,0,0,0,0,0
R096,0,0,0,0,0
R094,0,0,0,0,0
R098,0,0,0,0,0
R102,0,0,0,0,0
R103,0,0,0,0,0
X148J,0,0,0,0,0
X148H3,0,0,0,0,0
X148I,0,0,0,0,0
X148I2,0,0,0,0,0
X150K,0,0,0,616,616
X150M,0,0,0,0,0
X148C,0,0,0,0,0
X148E1,0,0,0,0,0
X148F1,1942,0,0,0,1942
X148F2,110,1518,0,0,1628
X148F3,0,0,0,0,0
X148F4,0,0,0,56,56
X148F5,0,0,0,0,0
X148G,0,0,0,0,0
X148G1,0,0,0,0,0
X148G2,0,0,0,0,0
X148A4,0,0,0,0,0
X148B,0,0,0,0,0
X148B1,0,59,0,0,59
X148A,0,0,0,0,0
X148A1,0,0,0,0,0
X303,0,0,0,0,0
X301,0,0,0,0,0
X225,0,0,0,0,0
X226,0,0,0,0,0
X191D,0,0,0,0,0
X195B,0,0,0,0,0
X195C,0,0,0,0,0
X195D,0,0,0,0,0
X195E,0,0,0,0,0
X195F,0,0,0,0,0
Q496,0,0,28,0,28
M060A,0,0,0,0,0
M060B,48,0,0,0,48
Q360P,0,0,0,0,0
M297,0,0,0,0,0
B573,0,0,0,0,0
B500,0,0,0,0,0
M367,0,4,0,0,4
M350,5,142,0,52,199
M167,0,0,0,0,0
M290,0,0,0,0,0
M369,0,0,0,0,0
B560,0,0,0,0,0
M375,0,0,0,0,0
M299,0,0,0,0,0
B504,0,0,0,0,0
B564,0,0,0,0,0
B516,0,0,0,0,0
R122,0,0,0,0,0
B570,0,0,0,0,0
B487,0,0,0,0,0
Q475,7,227,0,0,234
B423,0,52,0,77,129
B506,0,0,0,0,0
Q482,0,26,0,0,26
B524,0,0,0,0,0
M384,0,0,0,0,0
X317,0,0,0,0,0
M130,0,731,610,258,1599
B488,0,0,0,0,0
B489,0,0,0,0,0
Q480,126,0,292,0,418
M316,0,0,0,0,0
R154,0,0,0,0,0
R134,0,0,0,0,0
R167,0,0,0,0,0
X335,137,56,42,0,235
X245,0,0,0,0,0
Q455,9862,3425,2723,1999,18009
M073,1872,3880,7837,1133,14722
Q502,503,28,0,56,587
B490,0,0,0,0,0
B578,0,0,0,0,0
B517,0,0,0,0,0
R130,0,0,0,0,0
X332,0,0,0,0,0
Q469,0,0,0,0,0
Q501,0,0,4940,1016,5956
B094,0,0,0,0,0
B096,0,5,0,0,5
B476,0,0,0,0,0
B393,1469,889,0,2471,4829
B491,0,0,0,0,0
B502,0,0,0,0,0
R128,0,0,0,0,0
M408,0,0,0,0,0
R157,0,0,0,0,0
R116,892,267,186,0,1345
Q446,2526,13,4109,1070,7718
R147,0,0,0,0,0
B559,0,0,0,0,0
X309,0,0,0,0,0
R155,0,0,0,0,0
R104,0,0,0,0,0
Q481,83,0,0,0,83
Q473,1831,28,0,82,1941
B519,0,0,0,0,0
R075D,0,0,0,30,30
B165,98,0,0,0,98
B165A,0,0,0,0,0
B371,350,423,0,531,1304
Q165,0,0,0,507,507
X345,0,0,0,0,0
R077,0,0,0,0,0
B492,0,0,0,0,0
B501,0,0,0,0,0
M389,0,0,0,0,0
Q174,114,258,965,324,1661
B425,0,0,0,0,0
B426,0,0,0,0,0
M394,0,0,0,0,0
R170,0,0,0,26,26
B503,0,0,0,0,0
R143,0,0,0,0,0
B505,0,0,0,0,0
B563,0,0,0,0,0
B383,114,0,0,0,114
M319A,0,0,0,0,0
B411,0,0,0,0,0
B525,0,0,0,0,0
Q498,0,98,0,0,98
B427,0,0,0,0,0
B562,0,0,0,0,0
M108R,0,150,4,77,231
R156,0,279,0,258,537
X361,0,0,0,0,0
X296,0,0,0,0,0
R164,0,0,0,0,0
X325,0,0,0,0,0
B445,0,0,0,0,0
B409,0,0,0,0,0
B410,0,0,0,0,0
M315,5,0,0,0,5
B368,0,0,0,0,0
B546,0,0,0,0,0
M276,0,0,917,76,993
M332,5,0,0,0,5
X050,0,0,0,0,0
Q479,0,0,0,0,0
X304,0,0,0,0,0
B416,0,0,0,0,0
M103,4145,968,2239,1969,9321
R139,0,0,0,117,117
X331,0,0,0,0,0
X148C4,0,0,0,0,0
B576,0,0,0,0,0
M366,0,103,0,578,681
Q066D,0,0,0,0,0
Q066E,0,0,0,0,0
M387,0,0,0,0,0
Q477,0,181,0,211,392
B420,0,0,0,0,0
M380,0,0,0,0,0
B515,0,0,0,0,0
B527,0,0,0,0,0
B513,0,0,0,0,0
X277A,0,0,0,0,0
M298,0,0,0,0,0
B493,0,0,0,0,0
M370,5,0,0,0,5
X215,0,15,0,0,15
M343,5,0,0,0,5
Q472,0,0,0,0,0
B508,0,0,0,0,0
B494,0,0,0,0,0
B495,0,0,0,0,0
B496,0,0,0,0,0
B518,0,0,0,0,0
B551,0,0,0,9,9
M182,0,0,0,0,0
X347,0,0,0,0,0
X346,0,0,0,0,0
M306,0,0,0,0,0
M362,0,0,0,0,0
M307,0,0,0,0,0
M405,0,0,0,0,0
B456,0,0,0,0,0
M403,0,0,0,0,0
X148D,0,0,35,0,35
X148C6,0,0,0,0,0
B581,0,0,0,0,0
X088A,0,0,0,0,0
X209,0,0,0,0,0
B538,0,0,0,0,0
M368,0,103,0,17,120
X311,0,0,0,0,0
M328,0,0,0,0,0
Q121A,0,0,0,1069,1069
Q507,0,0,0,0,0
X333,0,0,0,0,0
X237,0,0,0,0,0
M352,5,0,0,0,5
R161,25,20,9,12,66
XZ307,10,17,20,19,66
MZ156,23,19,23,0,65
QZ294,6,23,13,23,65
RZ21,17,15,18,15,65
XZ274,23,16,14,12,65
XZ335,12,16,22,15,65
Q214,8,12,14,30,64
QZ117,3,3,21,37,64
QZ763,8,48,8,0,64
XZ212,17,17,12,18,64
XZ213,17,18,12,17,64
XZ264,19,12,17,16,64
QZ79,6,12,5,40,63
R077,28,35,0,0,63
XZ266,25,15,12,11,63
XZ374,21,22,9,11,63
M052,39,6,13,4,62
MZ09,9,8,34,11,62
MZ436,15,10,21,16,62
QZ51,0,20,19,23,62
RZ013B,15,17,16,14,62
RZ013D,15,17,16,14,62
RZ013E,15,17,16,14,62
X110B,18,12,20,12,62
XZ214,16,14,13,19,62
XZ362,17,14,14,17,62
XZ60,18,14,15,15,62
BZ128,30,11,12,8,61
BZ527,5,22,20,14,61
BZ68,4,6,18,33,61
MZ180,14,21,15,11,61
Q160,12,14,20,15,61
Q246,10,14,8,29,61
RZ133,8,31,9,13,61
XZ123,13,14,17,17,61
XZ36,17,14,12,18,61
XZ99,10,15,11,25,61
BZ12,13,12,20,15,60
M291,15,13,20,12,60
Q070,15,14,19,12,60
Q116,10,20,16,14,60
QZ110,19,13,12,16,60
QZ300,13,14,18,15,60
QZ444,10,15,22,13,60
QZ445,10,15,22,13,60
R003,0,0,29,31,60
XZ147,13,19,16,12,60
XZ50,15,15,13,17,60
XZ65B,20,10,8,22,60
B030,25,15,11,8,59
BZ258,27,12,10,10,59
BZ262,18,15,15,11,59
MZ409,0,59,0,0,59
QZ726,5,5,18,31,59
BZ26,19,16,14,9,58
BZ349,18,15,14,11,58
BZ424,23,9,14,12,58
BZ99,10,9,21,18,58
MZ457,8,2,27,21,58
QZ183,6,22,15,15,58
QZ903,6,15,23,14,58
XZ37,13,14,12,19,58
XZ455,15,8,23,12,58
B394,0,10,29,18,57
BZ44,35,6,8,8,57
BZ52,31,9,10,7,57
MZ195,23,19,15,0,57
MZ459,14,13,20,10,57
QZ607,12,12,15,18,57
RZ119,23,10,8,16,57
XZ275,9,13,13,22,57
XZ280,10,13,12,22,57
XZ304,19,15,13,10,57
XZ491,16,13,15,13,57
BZ150,16,19,14,7,56
Q056,7,14,17,18,56
QZ455,15,14,19,8,56
QZ510,8,21,15,12,56
X070,20,8,9,19,56
XZ333,10,15,19,12,56
XZ35,13,14,13,16,56
XZ65C,26,10,8,12,56
BZ130,20,8,18,9,55
BZ153,23,11,12,9,55
BZ367,21,15,8,11,55
BZ489,26,7,13,9,55
BZ72,26,13,11,5,55
Q075,9,13,10,23,55
Q254,15,9,14,17,55
