gispropnum,q1,q2,q3,q4,budsum
Q360R,15,5,10,25,55
QZ182,7,19,17,12,55
QZ293,12,17,14,12,55
QZ454,15,12,19,9,55
XZ15,19,8,12,16,55
XZ284,10,16,15,14,55
XZ480,15,13,14,13,55
BZ264,14,13,13,14,54
MZ432,54,0,0,0,54
Q140,18,10,16,10,54
Q504,16,16,14,8,54
RZ161,7,15,18,14,54
X364,0,0,0,54,54
XZ265,12,13,16,13,54
XZ356,17,10,10,17,54
BZ23,15,17,12,9,53
BZ373,11,6,23,13,53
BZ47,16,15,12,10,53
X110C,12,14,20,7,53
XZ27,12,14,14,13,53
XZ272,45,0,0,8,53
XZ42,10,9,17,17,53
BZ344,0,8,24,20,52
BZ345,0,9,22,21,52
BZ371,19,15,8,10,52
M231,15,13,15,9,52
QZ744,27,19,3,3,52
RZ122,26,8,7,11,52
RZ124,25,14,7,6,52
XZ40,12,19,17,4,52
BZ242,20,14,8,9,51
BZ276,15,14,9,13,51
BZ370,19,14,9,9,51
BZ38,11,10,11,19,51
BZ97,14,14,10,13,51
M345,0,0,51,0,51
QZ352,2,19,5,25,51
QZ519,5,19,15,12,51
X209,0,0,33,18,51
XZ34,9,15,13,14,51
BZ282,11,12,15,12,50
BZ287,11,11,20,8,50
BZ309,17,11,15,7,50
BZ360,24,12,14,0,50
BZ490,23,8,10,9,50
BZ98,15,12,11,12,50
Q208,15,11,13,11,50
Q387B,20,16,6,8,50
QZ299,13,14,12,11,50
QZ363,0,15,12,23,50
RZ31,5,32,7,6,50
X333,0,0,50,0,50
XZ286,10,17,11,12,50
XZ436,13,13,14,10,50
XZ49,14,12,15,9,50
B278,13,7,14,15,49
BZ11,14,11,7,17,49
BZ315,16,10,9,14,49
BZ488,19,13,9,8,49
QZ151,8,14,16,11,49
QZ153,1,13,5,30,49
QZ189,26,12,6,5,49
QZ275,16,11,13,9,49
QZ298,10,13,15,11,49
QZ632,21,7,7,14,49
RZ123,27,6,8,8,49
BZ161,9,10,15,14,48
BZ246,9,12,18,9,48
BZ58,23,11,7,7,48
BZ74,29,7,3,9,48
QZ296,7,14,15,12,48
BZ208,0,46,0,1,47
BZ278,8,11,17,11,47
BZ95,2,10,26,9,47
M060B,21,2,1,23,47
MZG001,19,16,12,0,47
QZ114,13,15,10,9,47
QZ762,10,11,14,12,47
QZ795,21,12,8,6,47
R057,23,10,8,6,47
X148A,4,11,12,20,47
XZ129,32,7,4,4,47
BZ228,16,8,16,6,46
BZ247,9,9,9,19,46
BZ267,10,16,10,10,46
BZ35,9,11,15,11,46
BZ71,8,13,16,9,46
M232,0,46,0,0,46
QZ131,14,8,12,12,46
QZ150,7,6,4,29,46
QZ285,0,12,11,23,46
QZ443,11,11,15,9,46
QZ667,24,16,2,4,46
XZ178,12,7,13,14,46
XZ57,11,10,16,9,46
BZ17,24,9,7,5,45
BZ261,13,13,13,6,45
Q084B,4,23,8,10,45
Q283,6,5,17,17,45
Q383,8,13,9,15,45
RZG006,0,14,22,9,45
XZ277,7,12,14,12,45
XZ285,15,10,9,11,45
XZ380,15,9,6,15,45
XZ58,18,9,12,6,45
BZ219,16,8,10,10,44
QZ276,13,13,10,8,44
QZ280,13,13,10,8,44
QZ281,14,14,9,7,44
QZ284,0,14,10,20,44
QZ46A,8,10,7,19,44
QZ473,18,11,4,11,44
XZ342,3,10,13,18,44
XZ344,3,11,12,18,44
BZ274,21,6,6,10,43
BZ36,14,7,10,12,43
BZ45,7,18,10,8,43
Q441,5,13,14,11,43
QZ147,4,6,4,29,43
QZ196,17,12,9,5,43
QZ278,13,13,9,8,43
QZ626,19,0,24,0,43
QZ942,2,30,5,6,43
XZ490,8,16,7,12,43
BZ235,20,9,6,7,42
BZ307,21,6,9,6,42
BZ59,15,12,6,9,42
BZ85,10,7,15,10,42
MZ308,7,11,13,11,42
QZ297,11,10,11,10,42
QZ392,5,8,20,9,42
QZ727,4,5,3,30,42
RZ120,12,10,6,14,42
RZ56,7,14,11,10,42
X285,0,27,15,0,42
XZ177,13,5,10,14,42
XZ470,12,9,9,12,42
XZ65D,12,8,5,17,42
BZ201,5,6,13,17,41
BZ53,11,11,9,10,41
MZ464,41,0,0,0,41
QT12,10,8,10,13,41
BZ08,7,7,18,8,40
BZ126,20,10,6,4,40
BZ151,19,10,6,5,40
BZ316,12,15,7,6,40
BZ523,6,13,13,8,40
QZ208,21,8,6,5,40
QZ77,10,10,16,4,40
QZ954,17,10,6,7,40
X052,4,5,17,14,40
XZ343,3,9,14,14,40
XZ373,15,4,8,13,40
XZ52,8,12,9,11,40
BZ114,6,5,18,10,39
BZ170,0,11,20,8,39
BZ171,11,0,19,9,39
BZ18,22,5,8,4,39
BZ281,5,13,9,12,39
BZ46,15,8,11,5,39
MZ456,8,2,26,3,39
QZ295,5,11,11,12,39
QZ31,29,2,4,4,39
QZ596,12,6,11,10,39
QZ902,18,7,7,7,39
QZ904,9,10,9,11,39
RZ104,3,4,28,4,39
RZ121,10,10,6,13,39
RZ14,5,20,5,9,39
X148B1,17,6,9,7,39
XZ235,0,6,19,14,39
XZ433,10,11,6,12,39
XZ94,13,9,11,6,39
BU002,38,0,0,0,38
BZ22,10,10,13,5,38
BZ289,18,10,7,3,38
BZ376,5,10,13,10,38
BZ62,9,12,10,7,38
MZ289,0,0,38,0,38
QZ101,26,0,0,12,38
R027,3,6,29,0,38
X148A1,11,14,12,1,38
X150M,4,17,14,3,38
XZ392,6,9,8,15,38
XZ476,10,10,7,11,38
XZ63,9,10,6,13,38
BZ21,10,10,12,5,37
BZ37,14,4,12,7,37
BZ375,13,11,5,8,37
BZ455,22,4,8,3,37
BZ60,14,8,9,6,37
MZ455,8,2,22,5,37
QZ543,4,0,3,30,37
QZ57,3,11,4,19,37
QZ591,9,7,10,11,37
QZ737,3,10,2,22,37
QZ78,12,9,11,5,37
QZ86,9,10,10,8,37
R099,15,11,5,6,37
RZ156,6,21,5,5,37
RZ159,6,21,5,5,37
RZ74,7,22,3,5,37
X148F5,0,0,0,37,37
XZ269,11,7,12,7,37
B223MA,9,7,14,6,36
B276,9,7,13,7,36
BZ179,24,0,12,0,36
BZ253,19,9,5,3,36
BZ270,12,7,8,9,36
BZ272,11,7,10,8,36
BZ48,9,6,16,5,36
BZ81,10,6,6,14,36
MZ16,0,31,3,2,36
Q213,6,5,11,14,36
QZ348,2,10,6,18,36
QZ48,0,13,11,12,36
QZ486,16,8,3,9,36
QZ504,0,14,11,11,36
QZ505,0,14,11,11,36
QZ506,0,14,11,11,36
QZ59,12,8,11,5,36
QZ605,7,7,8,14,36
R132,7,9,16,4,36
RZ163,6,21,4,5,36
XZ481,7,11,6,12,36
BZ160,8,7,12,8,35
BZ243,7,11,8,9,35
BZ263,15,9,6,5,35
BZ369,9,7,11,8,35
BZ423,0,8,16,11,35
BZ564,23,4,4,4,35
BZ568,17,10,4,4,35
BZ61,14,8,6,7,35
QZ1012,9,5,11,10,35
QZ364,3,10,6,16,35
QZ503,0,14,11,10,35
QZ622,9,6,9,11,35
QZ953,0,0,0,35,35
R101,10,8,11,6,35
RZ320,0,4,23,8,35
X304,35,0,0,0,35
XZ06,15,5,8,7,35
XZ76,7,11,8,9,35
BZ140,8,8,11,7,34
BZ159,9,8,11,6,34
BZ266,13,8,7,6,34
BZ29,6,7,6,15,34
BZ441,9,8,9,8,34
BZ51,13,8,8,5,34
Q135A,2,3,8,21,34
QZ193,15,11,5,3,34
QZ209,17,7,5,5,34
QZ355,2,4,12,16,34
QZ863,29,5,0,0,34
XZ14,3,5,13,13,34
XZ205,2,10,10,12,34
XZ457,12,9,9,4,34
XZ458,25,4,5,0,34
XZ56B,8,7,11,8,34
BZ110,20,4,7,2,33
BZ202,8,10,8,7,33
BZ213,32,0,0,1,33
BZ251,10,10,7,6,33
BZ374,11,9,7,6,33
BZ39,12,7,5,9,33
M348,0,0,11,22,33
MZ450,6,6,18,3,33
Q168,2,7,3,21,33
Q360L,0,33,0,0,33
QZ104,8,5,11,9,33
QZ283,7,11,8,7,33
QZ538,0,3,4,26,33
QZ606,6,6,7,14,33
RZ193,5,14,5,9,33
RZ72,4,22,3,4,33
XZ127,15,7,6,5,33
XZ130,15,11,4,3,33
XZ38,8,8,9,8,33
BZ220,15,5,7,5,32
BZ283,8,8,10,6,32
BZ93A,0,7,10,15,32
BZ93B,0,8,9,15,32
QZ349,1,12,4,15,32
QZ767,7,10,9,6,32
QZ872,0,0,6,26,32
QZ926,16,11,2,3,32
R098,16,5,5,6,32
X215,0,2,30,0,32
XZ393,6,9,7,10,32
XZ56A,7,8,9,8,32
XZ97,32,0,0,0,32
BZ03,11,4,9,7,31
Q224,12,3,4,12,31
Q497,0,0,0,31,31
QZ861,5,26,0,0,31
R131,3,8,18,2,31
X148F2,5,2,0,24,31
XZ51,4,7,11,9,31
B031,13,5,4,8,30
B378,10,3,11,6,30
BZ284,8,7,10,5,30
BZ30,10,7,5,8,30
BZ359,8,9,6,7,30
BZ378,2,13,6,9,30
BZ394,9,3,11,7,30
BZ418,0,6,16,8,30
BZ591,14,4,7,5,30
QZ107,15,4,5,6,30
QZ116,3,3,9,15,30
QZ140,6,8,9,7,30
QZ194,19,7,4,0,30
QZ282,6,11,7,6,30
QZ325,3,4,6,17,30
QZ552,8,4,4,14,30
QZ70,6,3,5,16,30
QZ71,3,2,5,20,30
QZ732,3,9,2,16,30
QZ781,8,9,6,7,30
QZ995,9,0,0,21,30
RZ333,8,8,6,8,30
X118A,0,0,0,30,30
XZ142,6,10,6,8,30
XZ381,6,8,6,10,30
XZ448,7,9,7,7,30
XZ62,8,9,6,7,30
BZ232,19,2,4,4,29
BZ237,12,7,3,7,29
BZ33,9,8,5,7,29
BZ377,5,7,6,11,29
BZ565,12,9,4,4,29
BZ87,3,11,5,10,29
MZ19,21,0,8,0,29
QZ141,7,7,8,7,29
QZ279,5,10,8,6,29
QZ350,1,10,4,14,29
QZ584,8,4,9,8,29
QZ590,5,5,10,9,29
QZG004,10,9,10,0,29
RZ323,7,9,6,7,29
X148F1,0,12,11,6,29
XZ118,8,5,6,10,29
XZ394,7,8,7,7,29
XZ66,10,7,6,6,29
BZ141,10,5,8,5,28
BZ214,10,5,8,5,28
BZ238,11,6,4,7,28
BZ240,10,5,4,9,28
BZ556,0,22,0,6,28
BZ57,15,4,5,4,28
BZ77,13,5,6,4,28
MZ98,0,0,16,12,28
Q043,11,7,5,5,28
QZ361,3,2,5,18,28
QZ470,9,6,2,11,28
QZ643,8,5,8,7,28
QZ993,20,3,2,3,28
QZ994,20,3,2,3,28
R075F,24,0,4,0,28
RZ45,5,7,8,8,28
RZ82,8,7,7,6,28
X350,0,0,0,28,28
XZ208,7,6,9,6,28
BS17,0,27,0,0,27
BZ231,15,2,6,4,27
BZ298,4,3,13,7,27
BZ32,8,5,7,7,27
BZ393,0,9,6,12,27
BZ50,12,6,6,3,27
BZ539,0,27,0,0,27
BZ567,13,6,4,4,27
BZ587,12,4,6,5,27
MZ274,27,0,0,0,27
MZ325,4,7,7,9,27
QZ448,8,5,9,5,27
QZ453,8,7,6,6,27
QZ496,0,8,9,10,27
R096,23,2,1,1,27
RZ148,8,6,6,7,27
RZ54,5,14,5,3,27
XZ197,4,10,9,4,27
B223DF,0,0,26,0,26
B414,0,0,9,17,26
BZ162,11,4,4,7,26
BZ327,8,3,7,8,26
BZ580,8,5,6,7,26
MZ324,4,8,7,7,26
Q325,10,6,5,5,26
Q387D,5,5,9,7,26
QZ100,8,4,9,5,26
QZ39,11,6,4,5,26
QZ500,0,8,9,9,26
QZ608,4,4,9,9,26
QZ610,5,3,7,11,26
R094,17,5,2,2,26
RZ223,9,6,7,4,26
RZ82A,8,7,7,4,26
BZ241,11,3,4,7,25
BZ275,11,5,5,4,25
BZ297,8,5,7,5,25
BZ321,15,2,3,5,25
BZ425,0,8,7,10,25
BZ426,0,10,4,11,25
BZ83,11,5,5,4,25
QZ149,3,4,10,8,25
QZ497,0,8,9,8,25
QZ498,0,8,9,8,25
QZ499,0,8,9,8,25
QZ501,0,8,9,8,25
QZ609,5,4,7,9,25
RZ076S,4,12,4,5,25
RZ325,7,9,3,6,25
BZ322,13,3,3,5,24
BZ588,10,3,6,5,24
BZ88,3,9,8,4,24
MZ205,6,2,16,0,24
QZ124,7,4,8,5,24
QZ277,10,8,2,4,24
QZ457,5,5,9,5,24
QZ598,9,4,3,8,24
RZ322,5,7,6,6,24
RZ38,20,2,1,1,24
BZ301,6,5,5,7,23
BZ343,12,3,3,5,23
BZ492,0,6,6,11,23
BZ589,8,3,7,5,23
BZ590,7,4,7,5,23
BZ69,12,5,4,2,23
MZ322,4,7,6,6,23
MZ323,4,7,6,6,23
QZ15,8,5,5,5,23
QZ366,6,3,6,8,23
QZ421,3,5,10,5,23
QZ559,0,0,19,4,23
QZ560,0,0,19,4,23
QZ604,5,5,4,9,23
QZ740,6,5,8,4,23
QZ974,0,0,23,0,23
QZ996,23,0,0,0,23
RZ126,3,13,3,4,23
RZ127,3,13,3,4,23
RZ128,3,13,3,4,23
RZ244,8,4,5,6,23
RZ321,5,7,6,5,23
X148G2,0,1,0,22,23
B210T,0,0,0,22,22
B223C,7,6,5,4,22
BZ173,8,4,4,6,22
BZ338,5,3,6,8,22
BZ563,0,5,6,11,22
BZ91,4,5,8,5,22
M319B,0,0,0,22,22
MZ451,5,9,5,3,22
Q159,7,3,8,4,22
Q360Y1,0,22,0,0,22
QZ1004,0,0,0,22,22
QZ53,9,3,5,5,22
QZ583,5,4,8,5,22
QZ601,10,3,4,5,22
QZ925,10,8,1,3,22
X245,0,0,0,22,22
X279,15,0,0,7,22
XZ121C,5,8,6,3,22
XZ240,3,4,9,6,22
BZ257,8,5,4,4,21
BZ336,9,3,5,4,21
BZ340,5,3,6,7,21
BZ562,0,5,5,11,21
BZ65,7,5,4,5,21
QZ393,3,5,9,4,21
QZ411,3,5,8,5,21
QZ551,21,0,0,0,21
QZ922,10,7,1,3,21
QZ924,10,7,1,3,21
R130,5,6,6,4,21
RZ06,5,4,6,6,21
RZ076N,4,9,4,4,21
RZ241,16,3,1,1,21
RZ318,5,7,4,5,21
XZ379,7,5,6,3,21
XZ467,0,9,7,5,21
BZ223,6,7,5,2,20
BZ326,5,3,7,5,20
BZ566,8,4,4,4,20
QZ319,6,3,6,5,20
QZ537,12,3,5,0,20
QZ600,4,4,6,6,20
QZ602,5,4,5,6,20
QZ68,9,3,4,4,20
QZ921,10,7,1,2,20
QZ923,10,7,1,2,20
QZG001,9,11,0,0,20
RZ157,5,5,6,4,20
X148A4,0,0,0,20,20
XZ239,3,4,9,4,20
XZ337,7,4,5,4,20
XZ340,3,8,5,4,20
BZ299,4,4,4,7,19
BZ414,0,8,5,6,19
BZ415,0,5,8,6,19
BZ445,0,8,8,3,19
BZ456,0,9,6,4,19
M287,5,2,6,6,19
QZ163,3,3,7,6,19
QZ389,4,6,6,3,19
QZ533,6,3,5,5,19
QZ603,6,4,2,7,19
RZ180,6,4,4,5,19
RZ308,5,4,6,4,19
RZ57,4,5,5,5,19
RZ82N,5,6,5,3,19
RZ82S,5,6,5,3,19
XZ105,0,19,0,0,19
XZ128,3,5,4,7,19
XZ478,4,6,6,3,19
BZ176,4,3,7,4,18
BZ25,6,4,5,3,18
BZ339,5,3,5,5,18
BZ413,0,7,5,6,18
BZ416,0,4,8,6,18
BZ494,3,3,4,8,18
BZ508,0,7,7,4,18
MZ212,0,0,18,0,18
MZ453,5,6,4,3,18
QZ156,2,10,3,3,18
QZ424,2,3,10,3,18
QZ54,3,3,8,4,18
QZ623,4,3,7,4,18
QZ69,5,3,5,5,18
QZ745,0,0,0,18,18
QZ874,3,4,3,8,18
QZ931,12,6,0,0,18
RZ309,5,3,6,4,18
RZ75,5,4,4,5,18
X148H3,0,0,0,18,18
XZ271,0,0,18,0,18
XZ336,6,5,4,3,18
XZ339,7,4,4,3,18
BZ230,5,4,5,3,17
BZ244,5,3,4,5,17
BZ255,4,4,6,3,17
BZ330,3,3,5,6,17
BZ337,6,3,3,5,17
BZ457,0,7,6,4,17
BZ513,0,5,11,1,17
M108B,17,0,0,0,17
M130,10,3,4,0,17
M399,7,4,6,0,17
QZ146,5,3,6,3,17
QZ165,4,3,4,6,17
QZ286,0,0,6,11,17
QZ317,5,4,4,4,17
QZ516,12,2,1,2,17
R143,4,4,4,5,17
RZ176,5,5,4,3,17
RZ27,7,3,4,3,17
RZ51,5,3,5,4,17
XZ126,4,5,4,4,17
BZ200,7,2,3,4,16
BZ222,3,5,5,3,16
BZ227,5,3,5,3,16
BZ254,4,4,6,2,16
BZ323,7,2,4,3,16
BZ512,0,6,6,4,16
BZ54,3,1,5,7,16
MZ220,0,12,4,0,16
MZ395,3,13,0,0,16
QZ390,2,4,7,3,16
QZ518,10,2,2,2,16
QZ631,5,2,4,5,16
QZ644,4,2,7,3,16
QZ929,12,4,0,0,16
QZ930,12,4,0,0,16
R136,3,4,6,3,16
RZ101,4,5,4,3,16
RZ219,3,7,2,4,16
RZ222,4,4,4,4,16
RZ245,4,3,5,4,16
RZ25,5,4,4,3,16
RZ315,5,4,3,4,16
XZ106,0,0,2,14,16
B210R,14,0,1,0,15
BZ224,6,3,4,2,15
BZ225,4,4,4,3,15
BZ226,5,3,4,3,15
BZ256,5,3,5,2,15
BZ342,4,3,4,4,15
BZ421,0,6,4,5,15
BZ454,0,3,8,4,15
BZ510,0,5,6,4,15
BZ592,6,4,2,3,15
MZ452,4,5,3,3,15
Q172,12,0,3,0,15
QZ161,4,2,6,3,15
QZ162,4,3,5,3,15
QZ391,2,4,6,3,15
QZ746,2,2,7,4,15
QZ971,9,3,3,0,15
RZ10,8,5,1,1,15
RZ172,4,4,4,3,15
RZ175,4,3,3,5,15
RZ211,2,9,2,2,15
RZ217,2,9,2,2,15
RZ218,2,9,2,2,15
RZ220,3,7,2,3,15
RZ26,4,3,4,4,15
RZ67,10,1,1,3,15
RZ89,3,7,2,3,15
RZ93,3,7,2,3,15
RZ94,3,7,2,3,15
RZ95,3,7,2,3,15
X148G1,0,0,0,15,15
XZ125,3,4,5,3,15
XZ131,3,5,4,3,15
XZ132,3,4,5,3,15
BZ217,3,3,5,3,14
BZ324,6,2,3,3,14
BZ335,4,2,4,4,14
BZ341,4,2,4,4,14
BZ451,0,5,3,6,14
M313,0,0,0,14,14
M396,0,0,0,14,14
QZ471,5,4,3,2,14
QZ63,2,3,0,9,14
QZ988,6,7,1,0,14
R133,4,2,5,3,14
RZ166,4,3,4,3,14
RZ255,3,4,3,4,14
RZ40,5,3,3,3,14
RZ41,3,4,4,3,14
BZ245,6,2,2,3,13
BZ325,4,2,3,4,13
BZ422,0,6,3,4,13
BZ450,0,4,3,6,13
BZ551,13,0,0,0,13
Q360Y2,0,5,8,0,13
QZ32,5,2,3,3,13
QZ33,5,2,4,2,13
QZ408,1,3,5,4,13
QZ410,3,2,4,4,13
QZ725,4,2,3,4,13
RZ03,4,2,4,3,13
RZ115,3,4,3,3,13
RZ174,3,3,3,4,13
RZ192,3,3,4,3,13
RZ221,3,4,3,3,13
RZ23,4,3,4,2,13
RZ28,3,4,3,3,13
RZ32,3,3,3,4,13
RZ33,3,3,4,3,13
RZ36,4,3,2,4,13
RZ68,10,1,1,1,13
X246,0,0,13,0,13
XZ121B,4,5,1,3,13
BZ167,0,12,0,0,12
BZ449,0,5,2,5,12
BZ511,0,5,5,2,12
Q096C,0,0,12,0,12
QZ412,2,2,4,4,12
QZ422,2,2,5,3,12
QZ425,2,2,5,3,12
QZ512,8,2,1,1,12
QZ514,6,2,1,3,12
RZ012A,2,6,2,2,12
RZ012B,2,6,2,2,12
RZ012C,2,6,2,2,12
RZ012D,2,6,2,2,12
RZ012E,2,6,2,2,12
RZ012F,2,6,2,2,12
RZ24,3,3,3,3,12
RZ263,8,2,1,1,12
BZ300,4,1,3,3,11
BZ419,0,5,3,3,11
BZ420,0,5,3,3,11
Q096F,11,0,0,0,11
QT18,9,2,0,0,11
QZ1028,8,0,0,3,11
QZ127,2,2,4,3,11
QZ14,2,2,4,3,11
QZ27,3,3,3,2,11
QZ36A,2,3,3,3,11
QZ511,6,2,1,2,11
QZ513,6,2,1,2,11
QZ517,5,2,2,2,11
R104,0,6,5,0,11
RZ01,2,3,3,3,11
RZ277,3,3,2,3,11
RZ48,9,1,1,0,11
RZ62,3,3,3,2,11
XZ121A,3,4,1,3,11
B085,0,0,10,0,10
B210O,0,6,4,0,10
B223DG,0,0,10,0,10
BZ448,0,3,2,5,10
BZ547,0,0,0,10,10
MZ194,7,0,0,3,10
MZ449,10,0,0,0,10
Q152,0,2,0,8,10
QZ1024,2,0,0,8,10
QZ103,4,4,0,2,10
QZ13,2,2,4,2,10
QZ138,0,7,0,3,10
QZ155,2,1,4,3,10
QZ409,2,1,3,4,10
QZ515,5,2,1,2,10
RZ162,3,2,2,3,10
RZ20,3,2,2,3,10
RZ311,2,2,4,2,10
RZ327,2,3,3,2,10
RZ328,2,3,3,2,10
X140,0,0,0,10,10
B586,0,0,6,3,9
BZ216,0,0,0,9,9
BZ549,0,0,9,0,9
MZ155,0,0,9,0,9
Q357,0,0,0,9,9
QZ36B,2,2,3,2,9
QZ484,3,2,3,1,9
QZ736,3,3,1,2,9
QZ742,0,3,6,0,9
QZ960,0,0,9,0,9
R138,2,3,3,1,9
RZ183,3,2,2,2,9
RZ278,2,2,2,3,9
B210S,8,0,0,0,8
BZ63,4,1,1,2,8
M051,0,0,0,8,8
M113A,0,0,0,8,8
MZ398,8,0,0,0,8
MZ442,8,0,0,0,8
MZ448,8,0,0,0,8
Q482,2,6,0,0,8
QZ1025,0,0,0,8,8
QZ128,2,1,3,2,8
QZ735,3,2,1,2,8
RZ63,2,2,2,2,8
RZ69,1,3,1,3,8
X148C,0,7,0,1,8
X345,0,0,8,0,8
BZ07,0,0,7,0,7
BZ534,7,0,0,0,7
M131,0,0,7,0,7
MZ152,7,0,0,0,7
MZ201,7,0,0,0,7
QZ129,1,1,3,2,7
QZ873,1,1,3,2,7
QZ911,7,0,0,0,7
QZ943,4,3,0,0,7
RZ312,1,2,2,2,7
X148F4,0,7,0,0,7
X148G,0,0,0,7,7
BZ502,0,0,0,6,6
M320,0,0,0,6,6
M390,0,0,6,0,6
MZ203,3,3,0,0,6
MZ234,0,0,0,6,6
QZ1029,6,0,0,0,6
QZ1030,6,0,0,0,6
QZ160,2,1,2,1,6
QZ423,0,5,0,1,6
QZ485,2,1,2,1,6
QZ585,0,0,5,1,6
QZ586,0,0,5,1,6
QZ587,0,0,5,1,6
QZ588,0,0,5,1,6
QZ589,0,0,5,1,6
QZ968,0,6,0,0,6
R002,1,2,1,2,6
RZ179,2,1,2,1,6
RZ30,1,1,3,1,6
RZ35,1,1,1,3,6
M283,0,0,0,5,5
Q360A,0,5,0,0,5
Q360V,5,0,0,0,5
QZ1013,5,0,0,0,5
QZ467,2,1,1,1,5
QZ469,2,1,1,1,5
QZ483,2,1,1,1,5
R146,0,5,0,0,5
RZ271,1,2,1,1,5
RZ29,1,1,2,1,5
RZ326,1,1,2,1,5
X066,0,0,0,5,5
X148J1,0,0,0,5,5
B554,0,0,4,0,4
BZ446,0,0,4,0,4
M310,0,4,0,0,4
M321A,0,2,0,2,4
MZ18,0,0,0,4,4
MZ465,4,0,0,0,4
Q455,4,0,0,0,4
QZ468,1,1,1,1,4
R168,1,1,1,1,4
RZ042A,1,1,1,1,4
RZ042B,1,1,1,1,4
RZ107,1,1,1,1,4
RZ111,1,1,1,1,4
RZ15,1,1,1,1,4
RZ181,1,1,1,1,4
RZ258,1,1,1,1,4
RZ266,1,1,1,1,4
RZ267,1,1,1,1,4
RZ270,1,1,2,0,4
RZ313,1,1,1,1,4
RZ314,1,1,1,1,4
RZ317,1,1,1,1,4
RZ319,1,1,1,1,4
RZ324,1,1,1,1,4
RZ332,1,1,1,1,4
RZ39,1,1,1,1,4
RZ43,1,1,1,1,4
RZ47,1,1,1,1,4
RZ49,0,1,2,1,4
RZ70,1,1,1,1,4
X148I2,0,0,4,0,4
M361,0,0,0,3,3
MZ313,3,0,0,0,3
MZ443,3,0,0,0,3
MZ444,3,0,0,0,3
MZ454,0,0,3,0,3
Q500,3,0,0,0,3
QZ541,0,0,3,0,3
QZ542,0,0,3,0,3
QZ544,0,0,3,0,3
RZ167,3,0,0,0,3
RZ178,1,1,1,0,3
RZ259,0,0,3,0,3
RZ64,0,1,1,1,3
X331,0,0,0,3,3
X339,0,0,3,0,3
B477,0,0,2,0,2
MZ404,2,0,0,0,2
Q393B,0,0,0,2,2
QZ1017,0,0,0,2,2
QZ941,2,0,0,0,2
QZ961,2,0,0,0,2
R139,0,1,1,0,2
R155,0,0,2,0,2
RZ286,1,0,1,0,2
BZ209,0,0,0,1,1
BZ210,0,0,0,1,1
BZ211,0,0,0,1,1
M008,0,0,0,1,1
M108R,1,0,0,0,1
M325,0,1,0,0,1
M357,0,0,0,1,1
QZ574,0,0,0,1,1
QZ761,0,0,1,0,1
R137,0,0,1,0,1
RZ238,0,0,1,0,1
RZ268,1,0,0,0,1
X148B,1,0,0,0,1
B048,0,0,0,0,0
B336A,0,0,0,0,0
M032,0,0,0,0,0
M036,0,0,0,0,0
M101,0,0,0,0,0
R152,0,0,0,0,0
